csid,tid,uid,sid,fecha_compra,fecha_exp
0,143,1,0,2/05/2014,26/07/2015
1,145,0,0,15/02/2014,12/07/2015
2,141,8,6,9/12/2014,19/12/2015
3,145,7,0,29/05/2014,25/10/2015
4,159,14,8,22/10/2014,10/04/2015
5,153,11,3,24/03/2014,25/09/2015
6,149,0,12,21/10/2014,7/04/2015
7,150,8,8,18/01/2014,29/08/2015
8,145,15,0,22/05/2014,9/08/2015
9,151,0,3,18/09/2014,4/12/2015
10,154,18,21,9/03/2014,5/09/2015
11,146,1,2,22/04/2014,6/07/2015
12,141,19,10,24/06/2014,27/09/2015
13,155,0,3,25/05/2014,14/02/2015
14,151,8,3,4/01/2014,17/10/2015
15,159,16,8,26/11/2014,7/06/2015
16,159,16,8,22/01/2014,1/08/2015
17,160,7,3,11/07/2014,2/10/2015
18,147,4,3,23/03/2014,26/02/2015
19,146,17,2,6/12/2014,11/07/2015
20,146,5,0,5/05/2014,13/04/2015
21,148,4,2,17/04/2014,24/03/2015
22,157,30,13,2/02/2014,20/12/2015
23,154,83,21,8/06/2014,30/09/2015
24,151,51,3,26/05/2014,13/03/2015
25,147,73,3,23/11/2014,29/04/2015
26,142,38,15,29/05/2014,1/11/2015
27,146,55,0,28/05/2014,2/01/2015
28,157,108,5,6/11/2014,22/06/2015
29,142,118,7,22/11/2014,19/08/2015
30,149,9,19,29/12/2014,14/04/2015
31,157,81,13,7/12/2014,12/01/2015
32,152,3,2,9/12/2014,27/07/2015
33,143,75,0,30/08/2014,8/04/2015
34,155,19,3,17/10/2014,12/12/2015
35,160,52,3,24/07/2014,5/10/2015
36,154,39,9,23/08/2014,13/11/2015
37,146,80,2,22/03/2014,4/12/2015
38,157,32,5,27/05/2014,5/01/2015
39,158,14,3,19/02/2014,29/06/2015
40,150,102,8,8/08/2014,5/11/2015
41,148,78,2,3/10/2014,3/12/2015
42,156,0,14,18/12/2014,12/07/2015
43,149,62,17,9/09/2014,17/01/2015
44,156,6,14,16/01/2014,26/01/2015
45,155,60,3,18/07/2014,25/03/2015
46,155,80,3,2/09/2014,28/03/2015
47,157,36,5,23/02/2014,22/03/2015
48,153,67,0,9/12/2014,4/09/2015
49,141,31,10,4/03/2014,10/09/2015
50,140,1,11,4/03/2014,10/09/2015
